"","subcontinente","topic","value"
"1","Africa Austral","Topic80",-0.250113212200458
"2","Africa Austral","Topic38",0.31531162903401
"3","Africa Austral","Topic36",0.640951858983759
"4","Africa Austral","Topic18",0.30723365948894
"5","Africa Austral","Topic87",-0.336432604123356
"6","Africa Austral","Topic04",1.88240141201049
"7","Africa Austral","Topic37",-0.663227908243345
"8","Africa Austral","Topic16",0.0787115238943218
"9","Africa Austral","Topic99",-0.259140304358245
"10","Africa Austral","Topic60",-0.0629642623141261
"11","Africa Austral","Topic78",-0.262968088943565
"12","Africa Austral","Topic97",-0.444272493911871
"13","Africa Austral","Topic95",-0.0751844830653736
"14","Africa Austral","Topic59",-0.574306443780002
"15","Africa Austral","Topic34",0.0388942321431342
"16","Africa Austral","Topic94",-0.502471896896536
"17","Africa Austral","Topic30",-0.295897042517046
"18","Africa Austral","Topic81",-0.238582765832334
"19","Africa Austral","Topic33",-0.382346156474128
"20","Africa Austral","Topic58",-0.174439571610888
"21","Africa Austral","Topic22",-0.633144729736097
"22","Africa Austral","Topic10",-0.300369905014937
"23","Africa Austral","Topic57",0.186685855201871
"24","Africa Austral","Topic11",0.401470841197988
"25","Africa Austral","Topic09",0.376040621768437
"26","Africa Austral","Topic54",-0.266744574202836
"27","Africa Austral","Topic91",-0.445196604562837
"28","Africa Austral","Topic90",-0.86454200054418
"29","Africa Austral","Topic23",0.190078542867775
"30","Africa Austral","Topic17",-0.602392550427824
"31","Africa Austral","Topic55",1.56778360306118
"32","Africa Austral","Topic62",1.19645262746139
"33","Africa Austral","Topic74",-0.221438967655841
"34","Africa Austral","Topic32",-0.814550029720189
"35","Africa Austral","Topic07",1.05423786949146
"36","Africa Austral","Topic92",-0.709395005156559
"37","Africa Austral","Topic73",-0.892591605040811
"38","Africa Austral","Topic19",1.19616374558929
"39","Africa Austral","Topic41",-0.751911141495702
"40","Africa Austral","Topic06",0.252458294862569
"41","Africa Austral","Topic63",-0.598811660513843
"42","Africa Austral","Topic08",-0.268627466593084
"43","Africa Austral","Topic12",-0.721051749771843
"44","Africa Austral","Topic03",0.112840077533885
"45","Africa Austral","Topic52",1.39799430379572
"46","Africa Austral","Topic43",-0.685558055195277
"47","Africa Austral","Topic21",0.171230302708265
"48","Africa Austral","Topic96",0.0966662890083251
"49","Africa Central","Topic80",0.875347091223257
"50","Africa Central","Topic38",-1.00460930897007
"51","Africa Central","Topic36",-1.47524432237449
"52","Africa Central","Topic18",-1.32625867862079
"53","Africa Central","Topic87",-0.308787641788019
"54","Africa Central","Topic04",-1.40022595413152
"55","Africa Central","Topic37",-0.109372593481149
"56","Africa Central","Topic16",-0.897709312312153
"57","Africa Central","Topic99",0.144039199911202
"58","Africa Central","Topic60",-1.39905615455727
"59","Africa Central","Topic78",-1.67842755428388
"60","Africa Central","Topic97",-0.789920194098573
"61","Africa Central","Topic95",-0.909960568415494
"62","Africa Central","Topic59",-0.364068387246749
"63","Africa Central","Topic34",0.0632240722632072
"64","Africa Central","Topic94",-0.463010900193473
"65","Africa Central","Topic30",-0.182587099014524
"66","Africa Central","Topic81",-0.712206625391466
"67","Africa Central","Topic33",-1.31115822015903
"68","Africa Central","Topic58",-0.449326492722023
"69","Africa Central","Topic22",2.89648312745303
"70","Africa Central","Topic10",-0.545177325663723
"71","Africa Central","Topic57",1.51869701417422
"72","Africa Central","Topic11",-0.781608809009534
"73","Africa Central","Topic09",-0.132276068175935
"74","Africa Central","Topic54",1.1393008833643
"75","Africa Central","Topic91",0.0699793820420443
"76","Africa Central","Topic90",-0.821992727314108
"77","Africa Central","Topic23",-0.843389985667971
"78","Africa Central","Topic17",0.297134590420868
"79","Africa Central","Topic55",-0.748950742354218
"80","Africa Central","Topic62",5.97465720513426
"81","Africa Central","Topic74",-0.470393335295905
"82","Africa Central","Topic32",1.03393459775965
"83","Africa Central","Topic07",-1.29327473637796
"84","Africa Central","Topic92",0.788022498183431
"85","Africa Central","Topic73",0.146904620678427
"86","Africa Central","Topic19",-1.74298676113084
"87","Africa Central","Topic41",-0.163376195289317
"88","Africa Central","Topic06",2.57206496880299
"89","Africa Central","Topic63",2.95550928037028
"90","Africa Central","Topic08",-0.144716786019396
"91","Africa Central","Topic12",-1.09238880203819
"92","Africa Central","Topic03",-0.772931211765551
"93","Africa Central","Topic52",-0.987765233650745
"94","Africa Central","Topic43",3.58390140879786
"95","Africa Central","Topic21",-0.765864541591426
"96","Africa Central","Topic96",-0.873499366332348
"97","Africa del Norte","Topic80",-0.0725070574715882
"98","Africa del Norte","Topic38",-0.128549148838898
"99","Africa del Norte","Topic36",0.586220827213595
"100","Africa del Norte","Topic18",-0.487060406864569
"101","Africa del Norte","Topic87",-1.01386067616843
"102","Africa del Norte","Topic04",0.210151696109027
"103","Africa del Norte","Topic37",-0.944548238118515
"104","Africa del Norte","Topic16",0.825217503189611
"105","Africa del Norte","Topic99",0.603129384822142
"106","Africa del Norte","Topic60",0.876099321343332
"107","Africa del Norte","Topic78",0.176309497467184
"108","Africa del Norte","Topic97",0.662617629564668
"109","Africa del Norte","Topic95",-0.430541506410957
"110","Africa del Norte","Topic59",-0.776966305039585
"111","Africa del Norte","Topic34",0.116054536121642
"112","Africa del Norte","Topic94",-0.437653294430633
"113","Africa del Norte","Topic30",1.23369088831763
"114","Africa del Norte","Topic81",-0.516800037358793
"115","Africa del Norte","Topic33",0.169668677045454
"116","Africa del Norte","Topic58",0.105275742356979
"117","Africa del Norte","Topic22",2.05688513404118
"118","Africa del Norte","Topic10",0.437915860776428
"119","Africa del Norte","Topic57",1.14867101129347
"120","Africa del Norte","Topic11",-0.457113532586135
"121","Africa del Norte","Topic09",-1.01294367131601
"122","Africa del Norte","Topic54",-1.28334045406434
"123","Africa del Norte","Topic91",-0.419004087972583
"124","Africa del Norte","Topic90",0.635369774428941
"125","Africa del Norte","Topic23",0.111089849898921
"126","Africa del Norte","Topic17",-0.545336658920466
"127","Africa del Norte","Topic55",-0.718235632428412
"128","Africa del Norte","Topic62",-0.878622959394723
"129","Africa del Norte","Topic74",0.611644340609294
"130","Africa del Norte","Topic32",-0.282759158507524
"131","Africa del Norte","Topic07",-0.141640960642567
"132","Africa del Norte","Topic92",-1.03797590594393
"133","Africa del Norte","Topic73",-1.00350858294007
"134","Africa del Norte","Topic19",0.327990058053904
"135","Africa del Norte","Topic41",0.255868031456132
"136","Africa del Norte","Topic06",-0.518886423843236
"137","Africa del Norte","Topic63",-0.117664164687077
"138","Africa del Norte","Topic08",-0.613150072675512
"139","Africa del Norte","Topic12",-0.512178190413547
"140","Africa del Norte","Topic03",1.77154603324561
"141","Africa del Norte","Topic52",-0.195732404910968
"142","Africa del Norte","Topic43",0.129405426578113
"143","Africa del Norte","Topic21",-0.506039260548198
"144","Africa del Norte","Topic96",0.234225081794975
"145","Africa Occidental","Topic80",0.728028749524708
"146","Africa Occidental","Topic38",0.647103903672564
"147","Africa Occidental","Topic36",-0.782033293599474
"148","Africa Occidental","Topic18",0.357380257132285
"149","Africa Occidental","Topic87",-0.498754833187381
"150","Africa Occidental","Topic04",1.02321972868714
"151","Africa Occidental","Topic37",-0.687926500659922
"152","Africa Occidental","Topic16",-0.480841299695087
"153","Africa Occidental","Topic99",-0.354504854659126
"154","Africa Occidental","Topic60",-0.204788118198192
"155","Africa Occidental","Topic78",0.456351391868983
"156","Africa Occidental","Topic97",-0.0789699336562323
"157","Africa Occidental","Topic95",0.000848278046237834
"158","Africa Occidental","Topic59",-0.521960551010729
"159","Africa Occidental","Topic34",-0.068554128150706
"160","Africa Occidental","Topic94",0.224009413453648
"161","Africa Occidental","Topic30",0.359742760704443
"162","Africa Occidental","Topic81",-0.423068421961006
"163","Africa Occidental","Topic33",0.0702803950731666
"164","Africa Occidental","Topic58",0.480998973919002
"165","Africa Occidental","Topic22",-0.0848182045195644
"166","Africa Occidental","Topic10",-0.579345262252874
"167","Africa Occidental","Topic57",0.678907035047392
"168","Africa Occidental","Topic11",0.632159770991835
"169","Africa Occidental","Topic09",-0.303545993826532
"170","Africa Occidental","Topic54",0.436973383758687
"171","Africa Occidental","Topic91",-0.338726987577822
"172","Africa Occidental","Topic90",-0.112851611492692
"173","Africa Occidental","Topic23",0.0345083267515336
"174","Africa Occidental","Topic17",-0.0286839923244288
"175","Africa Occidental","Topic55",-0.971995857998045
"176","Africa Occidental","Topic62",-0.00342873097620083
"177","Africa Occidental","Topic74",-0.00326026454645299
"178","Africa Occidental","Topic32",-0.296091525687461
"179","Africa Occidental","Topic07",1.9465085530772
"180","Africa Occidental","Topic92",1.37617917835061
"181","Africa Occidental","Topic73",-0.743147338083449
"182","Africa Occidental","Topic19",0.840044088635941
"183","Africa Occidental","Topic41",-0.2944836865258
"184","Africa Occidental","Topic06",-0.34682724770554
"185","Africa Occidental","Topic63",0.433752684755794
"186","Africa Occidental","Topic08",-0.0668395449043201
"187","Africa Occidental","Topic12",0.00881039906940418
"188","Africa Occidental","Topic03",0.392655010509118
"189","Africa Occidental","Topic52",-0.454308991737748
"190","Africa Occidental","Topic43",-0.393913807456511
"191","Africa Occidental","Topic21",-0.876114692796988
"192","Africa Occidental","Topic96",-1.08792545107014
"193","Africa Oriental","Topic80",-0.0131452441993176
"194","Africa Oriental","Topic38",-0.239008695322712
"195","Africa Oriental","Topic36",0.0719212889087604
"196","Africa Oriental","Topic18",0.0402187027909058
"197","Africa Oriental","Topic87",0.195800620668389
"198","Africa Oriental","Topic04",0.579793044986175
"199","Africa Oriental","Topic37",-0.622104289045015
"200","Africa Oriental","Topic16",1.03420598960606
"201","Africa Oriental","Topic99",-0.407627635825695
"202","Africa Oriental","Topic60",0.150389611565599
"203","Africa Oriental","Topic78",-0.380789868408671
"204","Africa Oriental","Topic97",-0.390315283600589
"205","Africa Oriental","Topic95",-0.115311018281335
"206","Africa Oriental","Topic59",-0.0275147104905767
"207","Africa Oriental","Topic34",0.401303006187858
"208","Africa Oriental","Topic94",-0.581096441042212
"209","Africa Oriental","Topic30",0.594782122610959
"210","Africa Oriental","Topic81",-0.1519993147016
"211","Africa Oriental","Topic33",0.770492730068398
"212","Africa Oriental","Topic58",2.30303590736932
"213","Africa Oriental","Topic22",-0.398814412902442
"214","Africa Oriental","Topic10",-0.159919973242561
"215","Africa Oriental","Topic57",0.0945320545977959
"216","Africa Oriental","Topic11",0.316799254618145
"217","Africa Oriental","Topic09",-0.054257952034691
"218","Africa Oriental","Topic54",0.843342928331205
"219","Africa Oriental","Topic91",0.00418295045073891
"220","Africa Oriental","Topic90",-0.916031410035211
"221","Africa Oriental","Topic23",0.304738360167291
"222","Africa Oriental","Topic17",-0.289627936065958
"223","Africa Oriental","Topic55",-0.99413647158611
"224","Africa Oriental","Topic62",1.39807684143086
"225","Africa Oriental","Topic74",0.584801283077374
"226","Africa Oriental","Topic32",-0.338675713600445
"227","Africa Oriental","Topic07",-0.0412751463558986
"228","Africa Oriental","Topic92",0.186589111722376
"229","Africa Oriental","Topic73",-0.595565514219819
"230","Africa Oriental","Topic19",-0.122141051682984
"231","Africa Oriental","Topic41",-0.281128375310859
"232","Africa Oriental","Topic06",0.547112065671665
"233","Africa Oriental","Topic63",-0.477240981140541
"234","Africa Oriental","Topic08",-0.410679423569023
"235","Africa Oriental","Topic12",-0.0771558756572248
"236","Africa Oriental","Topic03",0.310954169080557
"237","Africa Oriental","Topic52",-0.649710594423379
"238","Africa Oriental","Topic43",-0.344377639475372
"239","Africa Oriental","Topic21",-0.35692929721092
"240","Africa Oriental","Topic96",-0.345319977594241
"241","America Central","Topic80",-0.318899005117605
"242","America Central","Topic38",-0.474379266285966
"243","America Central","Topic36",-0.959352972362614
"244","America Central","Topic18",0.0760340826050417
"245","America Central","Topic87",1.34411393393068
"246","America Central","Topic04",-0.915471781481252
"247","America Central","Topic37",1.96837130181319
"248","America Central","Topic16",0.763900949776349
"249","America Central","Topic99",0.0701922972764842
"250","America Central","Topic60",-0.551968687549125
"251","America Central","Topic78",-1.16362724760614
"252","America Central","Topic97",-0.270935532789941
"253","America Central","Topic95",0.886269507426032
"254","America Central","Topic59",-0.2809003055065
"255","America Central","Topic34",2.10272933034932
"256","America Central","Topic94",-0.0134174239243313
"257","America Central","Topic30",0.314356760825854
"258","America Central","Topic81",-0.112777050805206
"259","America Central","Topic33",-0.80868324024748
"260","America Central","Topic58",0.356594267052692
"261","America Central","Topic22",-0.407910708247646
"262","America Central","Topic10",-0.432293064002001
"263","America Central","Topic57",0.502825695745515
"264","America Central","Topic11",-0.0282903390244809
"265","America Central","Topic09",0.971976931142512
"266","America Central","Topic54",1.42806937436013
"267","America Central","Topic91",-0.00697242531966505
"268","America Central","Topic90",-0.578267520033853
"269","America Central","Topic23",0.0976424844287574
"270","America Central","Topic17",0.808214351328051
"271","America Central","Topic55",0.50988063841908
"272","America Central","Topic62",0.312174704967197
"273","America Central","Topic74",-0.178881419738844
"274","America Central","Topic32",1.35967590127928
"275","America Central","Topic07",-0.807925170398643
"276","America Central","Topic92",-0.12298081244466
"277","America Central","Topic73",0.346691110740289
"278","America Central","Topic19",-0.323223350993012
"279","America Central","Topic41",0.765627238891449
"280","America Central","Topic06",-0.452280234806011
"281","America Central","Topic63",-0.0721045581742808
"282","America Central","Topic08",-0.0310236278318434
"283","America Central","Topic12",-0.109353252642217
"284","America Central","Topic03",-0.487630272052964
"285","America Central","Topic52",-0.777559731070463
"286","America Central","Topic43",-0.240396044590285
"287","America Central","Topic21",-0.83831115112894
"288","America Central","Topic96",-0.933549363820262
"289","America del Norte","Topic80",-0.261981664912573
"290","America del Norte","Topic38",-0.0945696283628393
"291","America del Norte","Topic36",0.475908124879776
"292","America del Norte","Topic18",0.601536560640138
"293","America del Norte","Topic87",0.333311776853855
"294","America del Norte","Topic04",0.0492061557121321
"295","America del Norte","Topic37",0.0106400273219417
"296","America del Norte","Topic16",0.626503568143565
"297","America del Norte","Topic99",0.210378951465575
"298","America del Norte","Topic60",0.330402949667949
"299","America del Norte","Topic78",-0.155401575094317
"300","America del Norte","Topic97",0.320260270879015
"301","America del Norte","Topic95",-0.00402333867550776
"302","America del Norte","Topic59",0.0802528668980104
"303","America del Norte","Topic34",-0.324677735341712
"304","America del Norte","Topic94",0.438038906155744
"305","America del Norte","Topic30",0.298937584682398
"306","America del Norte","Topic81",0.299934213190768
"307","America del Norte","Topic33",-0.184684511283413
"308","America del Norte","Topic58",-0.0820297691483572
"309","America del Norte","Topic22",-0.214678365439424
"310","America del Norte","Topic10",-0.411636984540827
"311","America del Norte","Topic57",-0.271623373902155
"312","America del Norte","Topic11",-0.125863464646934
"313","America del Norte","Topic09",0.356139646748537
"314","America del Norte","Topic54",-0.458687097403728
"315","America del Norte","Topic91",0.082815440374678
"316","America del Norte","Topic90",0.10665049183405
"317","America del Norte","Topic23",-0.0857628868327875
"318","America del Norte","Topic17",0.000915756669027268
"319","America del Norte","Topic55",1.33244870278952
"320","America del Norte","Topic62",0.467256412902253
"321","America del Norte","Topic74",-0.231823868176922
"322","America del Norte","Topic32",0.975174780851344
"323","America del Norte","Topic07",0.546565563686619
"324","America del Norte","Topic92",0.0488545723281918
"325","America del Norte","Topic73",0.0915445671958972
"326","America del Norte","Topic19",1.05453117576069
"327","America del Norte","Topic41",-0.471343765357715
"328","America del Norte","Topic06",0.195597869527472
"329","America del Norte","Topic63",-0.503860182646314
"330","America del Norte","Topic08",-0.312476381224087
"331","America del Norte","Topic12",-0.307468947717548
"332","America del Norte","Topic03",-0.249169728440667
"333","America del Norte","Topic52",-0.082029620393803
"334","America del Norte","Topic43",-0.647824627450471
"335","America del Norte","Topic21",0.72547629947957
"336","America del Norte","Topic96",0.756921126527201
"337","America del Sur","Topic80",1.0069667865302
"338","America del Sur","Topic38",0.268886328278923
"339","America del Sur","Topic36",0.499139063451473
"340","America del Sur","Topic18",-0.0493314038582085
"341","America del Sur","Topic87",-0.121817299039399
"342","America del Sur","Topic04",-0.504151519281076
"343","America del Sur","Topic37",0.264787588381405
"344","America del Sur","Topic16",-0.368337445455514
"345","America del Sur","Topic99",-0.175049405505901
"346","America del Sur","Topic60",-0.104759842830621
"347","America del Sur","Topic78",0.298680349576128
"348","America del Sur","Topic97",-0.581572872117256
"349","America del Sur","Topic95",0.75974605312161
"350","America del Sur","Topic59",-0.238290812317449
"351","America del Sur","Topic34",-0.318679015282909
"352","America del Sur","Topic94",0.210120273942835
"353","America del Sur","Topic30",-0.530710217715489
"354","America del Sur","Topic81",-0.172749323789668
"355","America del Sur","Topic33",-0.791960250337047
"356","America del Sur","Topic58",-0.0321145615480017
"357","America del Sur","Topic22",-0.321287753941676
"358","America del Sur","Topic10",-0.588135162669234
"359","America del Sur","Topic57",0.283377843084449
"360","America del Sur","Topic11",-0.158221909459323
"361","America del Sur","Topic09",-0.386383369383547
"362","America del Sur","Topic54",-0.139041121503321
"363","America del Sur","Topic91",-0.0447722594891245
"364","America del Sur","Topic90",-0.249348437752116
"365","America del Sur","Topic23",-0.0623556977917514
"366","America del Sur","Topic17",-0.717634108549021
"367","America del Sur","Topic55",0.0408658059141448
"368","America del Sur","Topic62",0.107647445335551
"369","America del Sur","Topic74",0.793191709858371
"370","America del Sur","Topic32",0.173735269062665
"371","America del Sur","Topic07",0.00236075610230036
"372","America del Sur","Topic92",0.396934318236056
"373","America del Sur","Topic73",-0.843834248959413
"374","America del Sur","Topic19",0.215763296004138
"375","America del Sur","Topic41",-0.282375379145925
"376","America del Sur","Topic06",-0.108047515397427
"377","America del Sur","Topic63",-0.255272034028946
"378","America del Sur","Topic08",-0.66553352742831
"379","America del Sur","Topic12",-0.553338834353285
"380","America del Sur","Topic03",-0.388953865083888
"381","America del Sur","Topic52",-0.643229732441032
"382","America del Sur","Topic43",-0.146686232082618
"383","America del Sur","Topic21",0.292520201542131
"384","America del Sur","Topic96",0.908230434034216
"385","Asia Central","Topic80",1.75731874218167
"386","Asia Central","Topic38",1.36754933929159
"387","Asia Central","Topic36",-1.50234730996569
"388","Asia Central","Topic18",0.242927130895982
"389","Asia Central","Topic87",-1.47070818248428
"390","Asia Central","Topic04",1.03550384740093
"391","Asia Central","Topic37",-1.13559277214772
"392","Asia Central","Topic16",-0.622618745610536
"393","Asia Central","Topic99",0.989921902817973
"394","Asia Central","Topic60",0.529575456954282
"395","Asia Central","Topic78",-0.644570194206512
"396","Asia Central","Topic97",-0.99184426931784
"397","Asia Central","Topic95",0.0149275465164569
"398","Asia Central","Topic59",-1.16564087832191
"399","Asia Central","Topic34",0.19730572674123
"400","Asia Central","Topic94",5.31182249925804
"401","Asia Central","Topic30",0.874891647026118
"402","Asia Central","Topic81",0.897589858572714
"403","Asia Central","Topic33",-0.794428630888288
"404","Asia Central","Topic58",-0.337531632122998
"405","Asia Central","Topic22",-0.400471387137427
"406","Asia Central","Topic10",-0.00862578320105625
"407","Asia Central","Topic57",2.93493866987011
"408","Asia Central","Topic11",-0.515780720596667
"409","Asia Central","Topic09",-0.728532569624452
"410","Asia Central","Topic54",1.98317577377618
"411","Asia Central","Topic91",0.0240346264702001
"412","Asia Central","Topic90",-0.600944063948123
"413","Asia Central","Topic23",-0.00514127768712133
"414","Asia Central","Topic17",-1.67995580471429
"415","Asia Central","Topic55",2.31347926120479
"416","Asia Central","Topic62",1.28020344570473
"417","Asia Central","Topic74",0.768690164259633
"418","Asia Central","Topic32",-0.826063620854125
"419","Asia Central","Topic07",-1.30388546944498
"420","Asia Central","Topic92",-1.42480144468149
"421","Asia Central","Topic73",0.135610647556021
"422","Asia Central","Topic19",-1.59488194496538
"423","Asia Central","Topic41",-0.197270461489658
"424","Asia Central","Topic06",0.255816567192989
"425","Asia Central","Topic63",-1.35318075543161
"426","Asia Central","Topic08",-1.12091745210428
"427","Asia Central","Topic12",0.131097518486336
"428","Asia Central","Topic03",0.518655215379462
"429","Asia Central","Topic52",-0.359518192122557
"430","Asia Central","Topic43",0.729163994889158
"431","Asia Central","Topic21",0.176685696877809
"432","Asia Central","Topic96",-0.276082471837652
"433","Asia del Sur","Topic80",-0.170503859351995
"434","Asia del Sur","Topic38",-0.246765404572764
"435","Asia del Sur","Topic36",0.255994835801835
"436","Asia del Sur","Topic18",-0.296640598596924
"437","Asia del Sur","Topic87",0.0642685394156351
"438","Asia del Sur","Topic04",-0.146310082877178
"439","Asia del Sur","Topic37",0.481571208777277
"440","Asia del Sur","Topic16",-0.406760588631269
"441","Asia del Sur","Topic99",-0.545591311661792
"442","Asia del Sur","Topic60",0.37234891202378
"443","Asia del Sur","Topic78",-0.340398403702434
"444","Asia del Sur","Topic97",1.08989957424855
"445","Asia del Sur","Topic95",-0.549810977793543
"446","Asia del Sur","Topic59",0.102517132406207
"447","Asia del Sur","Topic34",0.984667703891472
"448","Asia del Sur","Topic94",-0.3959571317375
"449","Asia del Sur","Topic30",0.127100401192116
"450","Asia del Sur","Topic81",-0.312150309478035
"451","Asia del Sur","Topic33",0.0940410829193973
"452","Asia del Sur","Topic58",0.840325428083415
"453","Asia del Sur","Topic22",-0.498446254605246
"454","Asia del Sur","Topic10",-0.344850424868176
"455","Asia del Sur","Topic57",-0.220219783108617
"456","Asia del Sur","Topic11",0.169036964190829
"457","Asia del Sur","Topic09",-0.15439156748331
"458","Asia del Sur","Topic54",0.233314754054926
